"0.5"	"1"	"1.5"	"2"	"2.5"	"3"	"3.5"	"4"	"4.5"	"5"	"5.5"	"6"	"6.5"	"7"	"7.5"	"8"	"8.5"	"9"	"9.5"	"10"	"10.5"	"11"	"11.5"	"12"
"142"	"8"	"9"	"10"	"16"	"37"	"37"	"66"	"35"	"114"	"30"	"37"	"167"	"123"	"229"	"171"	"188"	"185"	"31"	"200"	"172"	"229"	"259"	"399"	"463"
"10561"	"9"	"1"	"18"	"26"	"59"	"29"	"80"	"78"	"83"	"92"	"100"	"117"	"113"	"129"	"56"	"176"	"284"	"339"	"370"	"384"	"416"	"434"	"478"	"497"
"3439"	"9"	"1"	"18"	"26"	"59"	"29"	"80"	"78"	"83"	"92"	"100"	"117"	"113"	"129"	"56"	"176"	"284"	"339"	"370"	"384"	"416"	"434"	"478"	"497"
"54567"	"12"	"15"	"40"	"27"	"31"	"59"	"78"	"44"	"39"	"39"	"50"	"228"	"101"	"113"	"127"	"83"	"87"	"157"	"88"	"86"	"98"	"105"	"129"	"526"
"3596"	"12"	"28"	"42"	"59"	"103"	"116"	"142"	"152"	"166"	"190"	"213"	"230"	"263"	"292"	"343"	"262"	"273"	"291"	"225"	"464"	"496"	"534"	"571"	"601"
"406888"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"729238"	"12"	"15"	"17"	"20"	"17"	"14"	"23"	"21"	"13"	"15"	"13"	"21"	"16"	"16"	"23"	"273"	"33"	"34"	"33"	"147"	"458"	"173"	"186"	"205"
"1735"	"12"	"35"	"3"	"22"	"56"	"68"	"82"	"83"	"52"	"134"	"221"	"237"	"273"	"301"	"357"	"379"	"361"	"292"	"459"	"479"	"511"	"553"	"367"	"375"
"3456"	"12"	"15"	"10"	"5"	"31"	"29"	"142"	"78"	"83"	"92"	"100"	"117"	"113"	"129"	"56"	"176"	"284"	"346"	"376"	"390"	"291"	"444"	"478"	"497"
"406901"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"407011"	"12"	"25"	"25"	"44"	"62"	"105"	"91"	"95"	"157"	"108"	"172"	"52"	"251"	"161"	"58"	"72"	"193"	"236"	"247"	"261"	"248"	"476"	"517"	"539"
"404663"	"12"	"15"	"10"	"5"	"5"	"3"	"39"	"33"	"29"	"28"	"34"	"43"	"41"	"46"	"48"	"60"	"62"	"62"	"63"	"336"	"67"	"379"	"429"	"443"
"6005"	"12"	"35"	"3"	"22"	"56"	"68"	"16"	"78"	"83"	"96"	"107"	"122"	"132"	"93"	"170"	"187"	"204"	"314"	"218"	"433"	"83"	"268"	"294"	"123"
"147040"	"12"	"24"	"31"	"32"	"46"	"59"	"110"	"71"	"118"	"146"	"158"	"154"	"172"	"236"	"224"	"283"	"291"	"312"	"331"	"341"	"375"	"450"	"498"	"516"
"5457"	"12"	"15"	"10"	"5"	"5"	"3"	"42"	"34"	"33"	"33"	"42"	"50"	"253"	"284"	"326"	"350"	"364"	"394"	"40"	"33"	"5"	"8"	"553"	"583"
"406882"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"100048912"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"108"	"23"	"43"	"35"	"82"	"190"	"222"	"241"	"258"	"99"	"286"	"297"	"327"	"343"	"379"	"392"
"84700"	"12"	"24"	"7"	"32"	"42"	"94"	"46"	"127"	"138"	"156"	"182"	"60"	"17"	"253"	"138"	"292"	"17"	"18"	"180"	"16"	"205"	"400"	"925"	"511"
"137529"	"12"	"15"	"31"	"32"	"18"	"12"	"38"	"6"	"38"	"191"	"214"	"231"	"264"	"293"	"344"	"367"	"54"	"412"	"445"	"465"	"181"	"194"	"209"	"233"
"9332"	"12"	"26"	"15"	"13"	"76"	"91"	"58"	"78"	"83"	"157"	"107"	"122"	"132"	"93"	"170"	"187"	"204"	"314"	"218"	"433"	"83"	"268"	"294"	"123"
"406887"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"91653"	"12"	"15"	"36"	"33"	"44"	"53"	"65"	"59"	"62"	"69"	"76"	"160"	"179"	"125"	"118"	"135"	"140"	"144"	"304"	"431"	"167"	"314"	"221"	"314"
"59336"	"12"	"24"	"31"	"22"	"68"	"84"	"63"	"54"	"171"	"59"	"150"	"90"	"218"	"281"	"260"	"254"	"278"	"369"	"98"	"477"	"379"	"392"	"508"	"456"
"406982"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"133482"	"12"	"26"	"11"	"19"	"10"	"8"	"12"	"66"	"70"	"179"	"152"	"9"	"229"	"183"	"153"	"164"	"336"	"425"	"462"	"112"	"168"	"555"	"540"	"100"
"406915"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"7545"	"12"	"26"	"15"	"19"	"10"	"8"	"12"	"15"	"9"	"48"	"7"	"9"	"19"	"134"	"150"	"162"	"336"	"425"	"462"	"155"	"390"	"451"	"453"	"467"
"3975"	"12"	"15"	"16"	"19"	"28"	"68"	"76"	"82"	"78"	"138"	"102"	"121"	"119"	"151"	"322"	"163"	"124"	"185"	"37"	"31"	"218"	"314"	"221"	"377"
"8742"	"12"	"24"	"31"	"32"	"42"	"94"	"115"	"122"	"133"	"115"	"79"	"94"	"99"	"111"	"124"	"143"	"151"	"57"	"56"	"170"	"177"	"77"	"56"	"209"
"50674"	"12"	"15"	"24"	"55"	"80"	"53"	"65"	"78"	"62"	"69"	"76"	"228"	"101"	"113"	"127"	"83"	"140"	"144"	"304"	"431"	"167"	"314"	"221"	"314"
"10608"	"12"	"28"	"39"	"7"	"77"	"92"	"26"	"23"	"17"	"15"	"212"	"228"	"260"	"291"	"333"	"357"	"371"	"157"	"159"	"174"	"183"	"523"	"560"	"590"
"650"	"12"	"11"	"46"	"13"	"75"	"89"	"107"	"92"	"121"	"135"	"161"	"176"	"197"	"60"	"262"	"287"	"295"	"315"	"336"	"346"	"382"	"395"	"442"	"457"
"9148"	"12"	"15"	"40"	"27"	"31"	"59"	"78"	"44"	"39"	"39"	"50"	"228"	"101"	"113"	"127"	"83"	"87"	"157"	"88"	"86"	"98"	"105"	"129"	"526"
"2086"	"12"	"25"	"25"	"44"	"62"	"105"	"91"	"95"	"157"	"108"	"172"	"52"	"251"	"161"	"58"	"72"	"193"	"236"	"247"	"180"	"378"	"390"	"439"	"453"
"140628"	"12"	"15"	"10"	"27"	"31"	"29"	"142"	"78"	"83"	"92"	"100"	"117"	"113"	"129"	"56"	"176"	"284"	"346"	"376"	"390"	"291"	"444"	"490"	"508"
"4762"	"12"	"15"	"16"	"24"	"26"	"25"	"2"	"44"	"39"	"39"	"50"	"55"	"101"	"61"	"127"	"83"	"87"	"217"	"88"	"86"	"167"	"314"	"221"	"314"
"56979"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"23"	"213"	"157"	"176"	"196"	"229"	"249"	"141"	"4"	"98"	"163"	"154"	"90"	"177"	"221"
"644914"	"12"	"21"	"46"	"50"	"81"	"95"	"117"	"85"	"136"	"154"	"180"	"192"	"223"	"251"	"290"	"313"	"327"	"345"	"375"	"389"	"422"	"443"	"488"	"506"
"51561"	"12"	"28"	"51"	"7"	"7"	"118"	"145"	"118"	"8"	"170"	"42"	"109"	"120"	"135"	"152"	"284"	"273"	"77"	"225"	"208"	"220"	"233"	"258"	"276"
"2487"	"12"	"15"	"10"	"16"	"18"	"12"	"102"	"109"	"111"	"137"	"153"	"12"	"248"	"212"	"275"	"274"	"282"	"306"	"323"	"230"	"367"	"451"	"425"	"424"
"80853"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"23"	"187"	"157"	"176"	"196"	"229"	"249"	"141"	"187"	"61"	"404"	"331"	"234"	"533"	"561"
"407035"	"12"	"24"	"7"	"56"	"27"	"30"	"44"	"53"	"2"	"4"	"4"	"4"	"80"	"89"	"5"	"14"	"13"	"13"	"12"	"12"	"12"	"18"	"13"	"20"
"3458"	"12"	"28"	"42"	"59"	"103"	"116"	"142"	"152"	"166"	"190"	"213"	"230"	"263"	"292"	"343"	"262"	"273"	"291"	"225"	"242"	"258"	"278"	"304"	"326"
"2019"	"12"	"15"	"10"	"5"	"31"	"66"	"78"	"79"	"24"	"39"	"50"	"228"	"101"	"29"	"92"	"104"	"112"	"50"	"49"	"318"	"353"	"145"	"335"	"73"
"6521"	"12"	"35"	"3"	"22"	"56"	"68"	"82"	"83"	"90"	"96"	"107"	"122"	"132"	"93"	"170"	"187"	"204"	"287"	"218"	"51"	"250"	"268"	"294"	"542"
