"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB07"	"MONDO_0007099"	4	0.44	0.000709402734719594	0.0028691253593009	"Overenrichment"
"MB07"	"MONDO_0011916"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB07"	"MONDO_0008977"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB07"	"MONDO_0008834"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB07"	"MONDO_0009693"	5	1.12	0.00535059255113827	0.0155984586047193	"Overenrichment"
"MB07"	"MONDO_0009696"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB07"	"MONDO_0009804"	0	0.48	0.612649539003383	0.915935164367014	"No enrichment"
"MB07"	"MONDO_0009067"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB07"	"MONDO_0008114"	5	0.8	0.00104995323287454	0.00392144931734362	"Overenrichment"
"MB07"	"MONDO_0007743"	0	0.08	0.921596516834208	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0007179"	79	106.9541	0.00292541831087647	0.00931444664373782	"Underenrichment"
"MB08"	"MONDO_0016419"	63	41.3866	0.00108046900357806	0.00399631785496075	"Overenrichment"
"MB08"	"MONDO_0009282"	0	0.279	0.751466634097627	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0009563"	10	0.93	5.77600589437027e-09	6.55151348593935e-08	"Overenrichment"
"MB08"	"MONDO_0009711"	0	0.279	0.751466634097627	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0007455"	92	49.1524	9.75222728318876e-09	1.08303006931474e-07	"Overenrichment"
"MB08"	"MONDO_0012173"	1	0.093	0.0930035677571505	0.179987975870327	"No enrichment"
"MB08"	"MONDO_0021003"	35	4.1852	2.16852833378384e-24	8.77450816540311e-23	"Overenrichment"
"MB08"	"MONDO_0008233"	31	3.4411	4.49751106205542e-23	1.67269134818572e-21	"Overenrichment"
"MB08"	"MONDO_0008852"	15	1.5346	4.76101886446334e-12	8.09558460611081e-11	"Overenrichment"
"MB08"	"MONDO_0019200"	310	770.3486	1.16170372492161e-136	3.17290329869215e-134	"Underenrichment"
"MB08"	"MONDO_0019182"	179	278.5922	1.23531467811062e-12	2.23677292829126e-11	"Underenrichment"
"MB08"	"MONDO_0011679"	27	8.3703	1.00840662886563e-07	9.85847196452527e-07	"Overenrichment"
"MB08"	"MONDO_0012033"	0	0.093	0.909157507495212	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0005090"	6	8.4168	0.407108623076083	0.656118267690387	"No enrichment"
"MB08"	"MONDO_0008903"	61	34.4113	1.91554046052644e-05	0.000119074136735427	"Overenrichment"
"MB08"	"MONDO_0006277"	4	1.7206	0.118842567236748	0.222702409444507	"No enrichment"
"MB08"	"MONDO_0011818"	4	1.8136	0.139636293772779	0.256283327923999	"No enrichment"
"MB08"	"MONDO_0011338"	0	0.279	0.751466634097627	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0007103"	3	0.558	0.0178097586343901	0.045781556018991	"Overenrichment"
"MB08"	"MONDO_0010908"	1	0.093	0.0930035677571505	0.179987975870327	"No enrichment"
"MB08"	"MONDO_0014461"	3	0.372	0.00499264898364917	0.0146921724299979	"Overenrichment"
"MB08"	"MONDO_0014207"	0	0.093	0.909157507495212	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0007639"	4	11.9045	0.00899220478136156	0.0247845694699149	"Underenrichment"
"MB08"	"MONDO_0009180"	0	1.0695	0.334345326523707	0.560663498430007	"No enrichment"
"MB08"	"MONDO_0007796"	0	0.093	0.909157507495212	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0023113"	120	42.5956	5.25903265294908e-25	2.20980506667187e-23	"Overenrichment"
"MB08"	"MONDO_0013108"	12	5.4407	0.0114984573398582	0.0308622924976318	"Overenrichment"
"MB08"	"MONDO_0007263"	92	96.6307	0.626350172421224	0.930370582420378	"No enrichment"
"MB08"	"MONDO_0008648"	11	12.5555	0.680091821142859	0.9638217303004	"No enrichment"
"MB08"	"MONDO_0008823"	3	0.279	0.00187021801857891	0.00630378152039324	"Overenrichment"
"MB08"	"MONDO_0008185"	4	1.0695	0.0239348009659474	0.0597515453991374	"No enrichment"
"MB08"	"MONDO_0007256"	37	18.9262	0.000130057189133644	0.000649171806412362	"Overenrichment"
"MB08"	"MONDO_0002629"	9	4.9292	0.0845975983551003	0.167099492042673	"No enrichment"
"MB08"	"MONDO_0013664"	1	0.186	0.185614975878998	0.331206454808851	"No enrichment"
"MB08"	"MONDO_0008730"	2	0.279	0.0304112870350827	0.0738113437063657	"No enrichment"
"MB08"	"MONDO_0007187"	4	0.8835	0.0117618072328866	0.031504197123944	"Overenrichment"
"MB08"	"MONDO_0011556"	2	0.744	0.204653112898324	0.362225234250982	"No enrichment"
"MB08"	"MONDO_0007216"	4	0.3255	0.000149787419881844	0.000723682725133952	"Overenrichment"
"MB08"	"MONDO_0010011"	0	0.651	0.513357718399352	0.793973891136142	"No enrichment"
"MB08"	"MONDO_0008199"	1	7.6728	0.00382769783367862	0.0117218216770677	"Underenrichment"
"MB08"	"MONDO_0023122"	17	13.346	0.307775786383625	0.523135039477418	"No enrichment"
"MB08"	"MONDO_0001056"	60	21.0653	4.3750582812646e-13	8.29457904083571e-12	"Overenrichment"
"MB08"	"MONDO_0008170"	38	16.8801	4.25139579926924e-06	2.99654832948493e-05	"Overenrichment"
"MB08"	"MONDO_0011962"	9	3.9527	0.0232419343858348	0.0581884917507309	"No enrichment"
"MB08"	"MONDO_0007817"	13	1.6741	4.13521168705145e-09	4.77433951715055e-08	"Overenrichment"
"MB08"	"MONDO_0014103"	3	0.372	0.00499264898364917	0.0146921724299979	"Overenrichment"
"MB08"	"MONDO_0009958"	1	0.093	0.0930035677571505	0.179987975870327	"No enrichment"
"MB08"	"MONDO_0008093"	20	8.5563	0.000525835995394169	0.00221912438423227	"Overenrichment"
