"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB31"	"D01453"	15	27.2115	0.00459500515651505	0.0436525489868929	"Underenrichment"
"MB31"	"D11453"	6	2.401	0.0229903237344057	0.13708302620216	"No enrichment"
"MB31"	"D07874"	0	1.2005	0.261563974227078	0.52642635922625	"No enrichment"
"MB31"	"D05857"	3	1.2005	0.115580718805619	0.362410269575184	"No enrichment"
"MB31"	"D05156"	0	48.0202	0	0	"Underenrichment"
"MB31"	"D04789"	20	8.4035	5.62393807121224e-05	0.000794319040854401	"Overenrichment"
"MB31"	"D04131"	5	2.401	0.0913325548177713	0.313476897826157	"No enrichment"
"MB31"	"D11452"	1	0.4002	0.40016849199663	0.641878304750374	"No enrichment"
"MB31"	"D10640"	1	0.4002	0.40016849199663	0.641878304750374	"No enrichment"
"MB31"	"D03516"	8	12.8054	0.121163706140982	0.374278596776144	"No enrichment"
"MB31"	"D04051"	0	0.4002	0.639797767001769	0.722428445027102	"No enrichment"
"MB31"	"D01008"	0	1.2005	0.261563974227078	0.52642635922625	"No enrichment"
"MB31"	"D03730"	1	0.4002	0.40016849199663	0.641878304750374	"No enrichment"
"MB31"	"D09033"	18	8.4035	0.000728818415758779	0.00851117701134886	"Overenrichment"
"MB31"	"D05292"	2	1.8008	0.826231486346016	0.840628210077502	"No enrichment"
"MB31"	"D08340"	3	2.401	0.647308601920886	0.722428445027102	"No enrichment"
"MB31"	"D05922"	0	0.4002	0.639797767001769	0.722428445027102	"No enrichment"
"MB31"	"D04035"	0	0.4002	0.639797767001769	0.722428445027102	"No enrichment"
